theme_number,theme_name,chapter_number,chapter_name,question_id,question_number,points,question_text,options,correct_answers,comment,image_paths,video_paths,url
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-110,1.1.01-110,4 Puan,"Sürüş esnasındaki yorgunluk, hangi sonuçlara yol açar?",A. Dikkat yeteneğinin azalmasına; B. Algılama yeteneğinin kısıtlanmasına; C. Reaksiyonların gecikmesine,A. Dikkat yeteneğinin azalmasına; B. Algılama yeteneğinin kısıtlanmasına; C. Reaksiyonların gecikmesine,"Sürüş sırasındaki yorgunluk, aşağıdaki nedenlerden dolayı kaza riskini arttırır: Konsantrasyonla birlikte, dikkat ciddi bir biçimde azalır; algı sınırlanır ve reaksiyon süresi önemli ölçüde gecikir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-110
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-111,1.1.01-111,4 Puan,Ne şekilde tehlikeli bir durum ortaya çıkabilir?,A. Yolda kalmış araçlar; B. Duruma uygun olmayan hız; C. Gündüz yakılan farlar,A. Yolda kalmış araçlar; B. Duruma uygun olmayan hız,"Karayolu trafiğindeki tehlikelerin başlıca nedenlerinden biri aşırı hız ile sürüştür. Bu, özellikle araçlarının kontrolünü kolayca kaybedebilen yeni sürücüler için geçerlidir. Diğer trafik katılımcıları genellikle beklenmedik bir şekilde yüksek hıza hazırlıklı değildir. Bununla birlikte, çok düşük bir sürüş hızı da riskli sollama manevralarında veya ve arkadan çarpma vakalarında bir artışa neden olabilir. Buna ek olarak, yolda kalmış araçlar da tehlikeli bir engel haline gelebilir. Diğer sürücüler tarafından daha iyi görülebilmek için, gün içinde bile olsa aracınızın farlarınızı yakmanız tavsiye edilir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-111
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-112,1.1.01-112,4 Puan,Şeritten çıkmanıza ne sebep olabilir?,A. Başka birşeyle uğraşma; B. Dikkatsizlik; C. Yorgunluk,A. Başka birşeyle uğraşma; B. Dikkatsizlik; C. Yorgunluk,"Çoğu zaman sürücüler dikkatsizlik veya konsantrasyon eksikliği nedeniyle yoldan çıkarlar. Telefon görüşmesi yapmak için cep telefonu kullanma gibi dikkat dağıtıcı durumlar da sürüş hatalarına neden olabilir. Yoldan çıkmanın üçüncü bir nedeni, mikro uykuya neden olabilecek yorgunluktur.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-112
Tema 1.1.,Tehlike Oegretimi,1.1.01 Bölüm,Trafik Davranisinin Temel Bicimleri,1.1.01-113,1.1.01-113,4 Puan,Sıklıkla ağır kazalara ne neden olur?,A. Trafiğin yetersiz gözlemlenmesi; B. Az mesafe ile sürme; C. Ayarlanmamış hız,A. Trafiğin yetersiz gözlemlenmesi; B. Az mesafe ile sürme; C. Ayarlanmamış hız,"Ciddi kazalar genellikle gereksiz şekilde yavaş sürüş sonucu arkadan çarpma, yorgunluk ve gecikmiş reaksiyonların neden olduğu riskli sollama manevraları veya öngörülemeyen ve düşüncesizce hareket eden çocuklardan kaynaklanır.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.01-trafik-davranisinin-temel-bicimleri/1.1.01-113
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-004,1.1.02-004,4 Puan,"Çocuklara yaklaşırken, neyin hesaba katılması gerekir?",A. Çocukların düşüncesiz hareket edebileceklerini; B. Çocukların çabuk ve doğru tepki gösterebileceklerini; C. Çocukların trafik kurallarına uygun hareket edeceklerini,A. Çocukların düşüncesiz hareket edebileceklerini,"Çocuklar herhangi bir zamanda makul olmayan biçimde hareket edebilir ve bu nedenle trafik katılımcılarının sahip oldukları sorumluluklardan muaftırlar. Bu nedenle, çocuklar yaklaştıklarında frenlemeye hazır olmak için hızınızı azaltmanız gerekir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-004
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-005,1.1.02-005,5 Puan,"Zebra çizgili yaya geçitlerinde, çocukların nasıl davranacaklarını düşünmek zorundasınız?","A. Çocuklar, trafiğe dikkat etmeden zebra geçidine doğru koşabilirler; B. Çocuklar, zebra geçidinden geçerken, belirli bir sebep olmadan dönüp, geriye doğru koşabilirler; C. Çocuklar, araçların hız ve uzaklıklarını doğru tahmin ettikleri için, yolun kenarında bekleyeceklerdir","A. Çocuklar, trafiğe dikkat etmeden zebra geçidine doğru koşabilirler; B. Çocuklar, zebra geçidinden geçerken, belirli bir sebep olmadan dönüp, geriye doğru koşabilirler","Prensip olarak, çocuklar her zaman karayolu taşımacılığında kurallara uygun davranmak için gerekli eğitime sahip değillerdir. Bu nedenle, yaya geçidinin anlamını bilmediklerinden dolayı araçların yaklaşmasına rağmen aniden yola girmeleri ya da girdikten sonra aniden geriye kaçmaları olasılıklar dahilindedir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-005
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-009-B,1.1.02-009-B,5 Puan,Nasıl davranmak zorundasınız?,"A. Derhal aracın hızını iyice azaltıp, fren yapmaya hazır olmanız gerekir; B. Çocuklar mutlaka duracakları için, aynı hızla yola devam edilir; C. Arkadan gelen aracı engellememek için, aynı hızla yola devam edilir","A. Derhal aracın hızını iyice azaltıp, fren yapmaya hazır olmanız gerekir","Bir çocuk trafiğe dikkat etmeden aniden yolu geçmeye kalkışırsa eğer, derhal yavaşlamalı ve kendinizi fren yapmaya hazırlamalısınız. Ayrıca başka çocukların takip edip etmediğine dikkat etmeniz gerekir. Gerekirse, tamamen durabilmek için adım hızında ilerlemek en doğru davranış olacaktır.",images/1_1_02-009-B.png,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-009-B
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-022,1.1.02-022,4 Puan,"Çocukların lambada beklemeleri halinde, neleri hesaba katmakı gerekir?","A. - benim sürüş yönümdeki lambanın, henüz yeşilden sarıya geçtiği an yola koşacaklarını; B. - sabırsızlıktan dolayı kırmızı lambaya rağmen yola koşacaklarını; C. - birbirlerini yola iteceklerini","A. - benim sürüş yönümdeki lambanın, henüz yeşilden sarıya geçtiği an yola koşacaklarını; B. - sabırsızlıktan dolayı kırmızı lambaya rağmen yola koşacaklarını; C. - birbirlerini yola iteceklerini","Yaşam tecrübesi yetersizliği ve yetersiz eğitim nedeniyle çocuklar her zaman karayolu trafiğindeki kurallara uygun davranmaz ve örneğin bir itişme sırasında yola girebilir. Ayrıca, trafik ışıkları hala kırmızı iken veya değişiyor iken bile çocukların aniden yoldan geçmeye çalışabileceğiniaklınızdan çıkarmamalısınız.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-022
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-023,1.1.02-023,4 Puan,"Üzerinde bir grup bisikletli çocuğun bulunduğu bisiklet yolu sona ermektedir. Bu durumda, nelerin hesaba katılması zorunludur?","A. - düşünmeden araç yoluna geçtikleri; B. - yolun ortalarına kadar girdikleri; C. - bisikletten inip, yol boşalana kadar bekledikleri",A. - düşünmeden araç yoluna geçtikleri; B. - yolun ortalarına kadar girdikleri,"Özellikle trafik kurallarına aşina olmayan çocuklar öngörülemeyen hareketlerde bulunma eğilimindedirler. Bu nedenle, özellikle bisiklet yollarının sonunda, genç trafik katılımcılarının önceden uyarıda bulunmadan aniden yola çıkabildiklerinin farkında olmalısınız. Çocukların yan yana grup halinde sürmeleri de yaygındır ve bu durum onların şeritlerinden çıkabilmelerine neden olabilmektedir.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-023
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-024-B,1.1.02-024-B,4 Puan,Bu durumda doğru olan nedir?,"A. Yolcuların engellenmesi veya tehlikeye atılması sözkonusu olmadığı takdirde, adım hızı ile sağdan geçilmesine izin verilmiştir; B. Kimsenin engellenmediği veya tehlikeye atılmadığı durumlarda, adım hızından daha hızlı bir şekilde sağdan geçilmesine izin verilmiştir; C. Yolcular, tramvaya binmeden önce akan trafiğe yol vermek zorundadır","A. Yolcuların engellenmesi veya tehlikeye atılması sözkonusu olmadığı takdirde, adım hızı ile sağdan geçilmesine izin verilmiştir","Eğer binen veya inen yolcuları engellemiyorsanız veya tehlikeye atmıyorsanız, duran bir tramvayın yanından yürüme hızında yavaşça geçebilirsiniz. Yolcuların bu durumda mutlak önceliğe sahip olduğunu ve akan trafiğe öncelik vermek zorunda olmadıklarını belirtmekte fayda var. Gerekiğinde bir sürücü olarak durup beklemelisiniz.",images/1_1_02-024-B.png,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-024-B
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-026-B,1.1.02-026-B,4 Puan,Bu durumda neleri dikkate almak zorundasınız?,"A. Hareket ettiği sürece otobüsü geçmeniz yasaktır; B. Yolcuların tehlikeye atılması sözkonusu olmadığı takdirde, adım hızı ile, durmakta olan otobüsün yanından geçilmesine izin verilmiştir; C. Hareket ettiği sürece otobüsü geçmenize izin verilmiştir","A. Hareket ettiği sürece otobüsü geçmeniz yasaktır; B. Yolcuların tehlikeye atılması sözkonusu olmadığı takdirde, adım hızı ile, durmakta olan otobüsün yanından geçilmesine izin verilmiştir","Bir otobüs veya okul otobüsü uyarı lambalarını yakmış ise ve hala seyrine devam ediyorsa, onu sollamamalısınız. Otobüs durakta durduğunda ise yürüme hızında ve mesafenizi koruyarak yanından geçebilirsiniz. Bu, araca binen veya araçtan inen yolcuları tehlikeye atmamak için gereklidir. Karşı şeritte seyrediyorsanız eğer, yolcuların güvenliğini sağlamak için hızınızı azaltmalı veya gerekirse durmalısınız.",images/1_1_02-026-B.png,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-026-B
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-027,1.1.02-027,4 Puan,"Baston vs. gibi yürüme aracı kullanan yaşlı insanlar araç yolundan karşıya geçmek istediklerinde, neleri hesaba katmak zorundasınız?",A. Araç yolunda birden duracaklarını; B. Araç yolundan geri döneceklerini; C. Araç yolundan yavaşça karşıya geçeceklerini,A. Araç yolunda birden duracaklarını; B. Araç yolundan geri döneceklerini; C. Araç yolundan yavaşça karşıya geçeceklerini,"Yaşlı insanlar bir yürüteç ile caddeyi geçmeye kalktığında ise, sizin daha da dikkatlı ve sorumlu davranmanız gerekir. Güven ilkesi burada işlemez. Bu insanların aniden durmasına ya da beklenmedik bir şekilde geri dönmesine hazırlıklı olmalısınız. Ayrıca yaşlı insanlar karşıdan karşıya geçerken daha uzun bir süreye ihtiyaç duyarlar.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-027
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-028,1.1.02-028,4 Puan,Tekerlekli sandalyede oturan bir insanın yolun sağ tarafında yaya kaldırımı bulunmasına rağmen araç yolunda gittigini düşünün. Bu durumda nasıl davranırsınız?,"A. Onu geçme fırsatı bulana kadar arkasından giderim; B. Kenara kaçma manevrası yapabileceğini düşünerek, mümkün olduğunca büyük bir kenar mesafesiyle geçerim; C. Korna çalarak, yanliş davrandiği yönünde uyaririm","A. Onu geçme fırsatı bulana kadar arkasından giderim; B. Kenara kaçma manevrası yapabileceğini düşünerek, mümkün olduğunca büyük bir kenar mesafesiyle geçerim","Engelli veya yaşlı bireyler fiziksel sınırlamalar nedeniyle bazen trafikte doğru şekilde davranmayabilirler. Bu nedenle, lütfen özellikle dikkatli olun ve bu kişilere destek olmaya çalışın. Tekerlekli sandalye kullanıcısının aniden ve beklenmedik bir şekilde kaçış manevrası yapmasına ve yolda daha da ileri doğru sürmesine hazırlıklı olmalısınız. Bu gibi durumlarda korna çalmak veya yüksek hız ile bu kişinin etrafından dolanmak kesinlikle yasaktır.",,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-028
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-029,1.1.02-029,4 Puan,"Tekerlekli sandalyede oturan bir insanın araç yolundan karşıya geçtikten sonra yaya yoluna çıkmaya uğraştığını, ancak tekerlekli sandalyesiyle kaldırımdan yukarı çıkamadığını düşünün. Bu durumda nasıl davranırsınız?","A. Aracımı durdurur, dörtlü ikaz lambalarını yakarım; B. Araçtan iner, tekerlekli sandalyedeki insana yardım ederim; C. Korna çalar ve yanından geçip giderim","A. Aracımı durdurur, dörtlü ikaz lambalarını yakarım; B. Araçtan iner, tekerlekli sandalyedeki insana yardım ederim",Bu kişilere yardım etmelisiniz. Bunu yapmak için aracınızı durdurabilir ve diğer trafik katılımcılarını tehlikelere karşı uyarmak için uyarı lambalarınızı yakabilirsiniz. Bu durumda korna çalmaya veya araç ile kişinin etrafından dolanmaya izin verilmez. Bu şekilde bir tekerlekli sandalye kullanıcısını korkutup rahatsız edebilirsiniz.,,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-029
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-032,1.1.02-032,4 Puan,Resimdeki hangi şahsın ağır görme engelli olduğunu hesaba katmalısınız?,A. Adamın; B. Çocuğun; C. Kadının,A. Adamın,Aşağıdaki işaretlere sahip kişiler için ciddi görme bozukluğu beklemelisiniz: Bir kişi üç siyah noktalı sarı bir kol bandı takıyorsa ve / veya çapraz olarak öne doğru uzatılmış beyaz bir baston kullanıyorsa.,images/1_1_02-032.png,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-032
Tema 1.1.,Tehlike Oegretimi,1.1.02 Bölüm,Yayalara Karsi Davranis,1.1.02-036,1.1.02-036,4 Puan,Nasıl davranırsınız?,A. Dururum; B. Adamın yolu karşıya geçmesine izin veririm; C. Kişiyle göz göze irtibata geçerim,A. Dururum; B. Adamın yolu karşıya geçmesine izin veririm,Görme engelli yayalar genellikle bir kol bandı takar ve onlarla birlikte beyaz koşum takımı olan bir rehber köpeğe sahiptir. Görme engelli bir trafik katılımcısı ile göz teması yapmak mümkün değildir. İşte bu yüzden burada özellikle destek olmalısınız. Yayanın güvenli bir şekilde yolu geçmesine izin vermek için durmalısınız.,images/1_1_02-036.png,,https://www.clickclickdrive.de/fragenkatalog/tr/1.1.-tehlike-oegretimi/1.1.02-yayalara-karsi-davranis/1.1.02-036
